,Y0,Y1,Y2,Q0,Q1,Q2,Ci,Cm
2065.757618376968,7.666373259808016e-08,3.10062865079222e-05,0.02511189259756593,0.0018400528130464208,1.1242141865097217,1295.3814171127667,0.0979554329879489,3.875754807203766
2066.757618376968,7.666334928043794e-08,3.100248345842704e-05,0.025105861996531354,0.0018409344078228207,1.1246895676966155,1295.8625313881223,0.09795445343851678,3.875279429819922
2067.757618376968,7.666296596471234e-08,3.099868089440337e-05,0.02509983287493818,0.0018418159937833183,1.125164888199575,1296.3435277056155,0.0979534738988801,3.8748041131195263
2068.757618376968,7.666258265090331e-08,3.099487881578686e-05,0.02509380523241601,0.001842697570928002,1.1256401480266383,1296.8244060947632,0.09795249436903876,3.874328857094542
2069.757618376968,7.666219933901082e-08,3.099107722251324e-05,0.025087779068594582,0.0018435791392569598,1.1261153471858418,1297.3051665850742,0.09795151484899267,3.8738536617369315
2070.757618376968,7.666181602903491e-08,3.098727611451819e-05,0.025081754383103675,0.0018444606987702797,1.1265904856852218,1297.78580920605,0.09795053533874173,3.8733785270386596
2071.757618376968,7.666143272097552e-08,3.098347549173747e-05,0.025075731175573213,0.00184534224946805,1.1270655635328126,1298.266333987185,0.09794955583828585,3.8729034529916913
2072.757618376968,7.666104941483269e-08,3.097967535410678e-05,0.025069709445633182,0.0018462237913503589,1.127540580736648,1298.7467409579651,0.09794857634762492,3.8724284395879933
2073.757618376968,7.666066611060638e-08,3.097587570156188e-05,0.02506368919291369,0.0018471053244172944,1.1280155373047607,1299.22703014787,0.09794759686675886,3.8719534868195336
2074.757618376968,7.666028280829657e-08,3.0972076534038514e-05,0.025057670417044906,0.0018479868486689448,1.1284904332451815,1299.7072015863707,0.09794661739568755,3.87147859467828
2075.757618376968,7.665989950790327e-08,3.096827785147243e-05,0.025051653117657106,0.0018488683641053982,1.128965268565941,1300.1872553029314,0.09794563793441091,3.871003763156203
2076.757618376968,7.665951620942649e-08,3.0964479653799417e-05,0.025045637294380682,0.0018497498707267428,1.1294400432750684,1300.6671913270081,0.09794465848292884,3.8705289922452732
2077.757618376968,7.665913291286619e-08,3.096068194095523e-05,0.025039622946846102,0.0018506313685330666,1.1299147573805917,1301.14700968805,0.09794367904124122,3.870054281937463
2078.757618376968,7.665874961822236e-08,3.095688471287566e-05,0.025033610074683913,0.001851512857524458,1.1303894108905377,1301.6267104154986,0.09794269960934798,3.869579632224745
